Quelle est la définition d'une suite réelle ?;C'est une application \(u\) de \(\mathbb{N}\) dans \(\mathbb{R}\) : \(u : \mathbb{N} \to \mathbb{R}\), \(n \mapsto u(n)\).
Énoncer le théorème d'encadrement (ou théorème des gendarmes).;Si \(u_n \le v_n \le w_n\) à partir d'un certain rang, et si \((u_n)\) et \((w_n)\) convergent vers la même limite \(\ell\), alors \((v_n)\) converge aussi vers \(\ell\).
(Existence de limite par comparaison) Soient \((u_n)\) et \((v_n)\) telles que \(u_n \le v_n\). Que se passe-t-il si \(v_n \to -\infty\) ou si \(u_n \to +\infty\) ?;Si \(v_n \xrightarrow[n \to +\infty]{} -\infty\), alors \(u_n \xrightarrow[n \to +\infty]{} -\infty\). Si \(u_n \xrightarrow[n \to +\infty]{} +\infty\), alors \(v_n \xrightarrow[n \to +\infty]{} +\infty\).
Énoncer le théorème de la limite monotone.;Toute suite croissante majorée converge (sinon elle diverge vers \(+\infty\)). Toute suite décroissante minorée converge (sinon elle diverge vers \(-\infty\)).
Soit \(u\) une suite croissante convergeant vers un réel \(\ell\). Quelle inégalité relie \(u_n\) et \(\ell\) ?;\(\forall n \in \mathbb{N}, u_n \le \ell\) (et \(u_n < \ell\) si elle est strictement croissante).
Quelle est la définition de deux suites adjacentes ?;Ce sont deux suites dont l'une est croissante, l'autre décroissante, et telles que \(u_n - v_n \xrightarrow[n \to +\infty]{} 0\).
Énoncer le théorème de convergence des suites adjacentes.;Deux suites adjacentes convergent vers la même limite \(\ell\). Si \(u\) est croissante et \(v\) décroissante, alors \(\forall n \in \mathbb{N}, u_n \le \ell \le v_n\).
Qu'appelle-t-on suite extraite d'une suite \((u_n)\) ?;C'est une suite de la forme \((u_{\varphi(n)})\) où \(\varphi : \mathbb{N} \to \mathbb{N}\) est strictement croissante.
Si une suite \(u\) converge vers \(\ell\), que peut-on dire de toute suite extraite de \(u\) ?;Toute suite extraite admet aussi \(\ell\) comme limite.
Que peut-on déduire si les suites extraites \((u_{2n})\) et \((u_{2n+1})\) convergent vers la même limite \(\ell\) ?;On en déduit que la suite \((u_n)\) converge vers \(\ell\) (\(u_n \xrightarrow[n \to +\infty]{} \ell\)).
À quelle condition la suite géométrique \((q^n)\) (avec \(q \in \mathbb{R}\)) converge-t-elle, et quelles sont ses limites ?;Elle converge \(\iff |q| < 1\) (limite \(= 0\)) ou \(q = 1\) (limite \(= 1\)). (Si \(q > 1\), elle diverge vers \(+\infty\)).
Soit \(u\) une suite vérifiant \(u_{n+1} = f(u_n)\). Si \(u\) converge vers \(\ell\) et que \(f\) est continue en \(\ell\), que peut-on dire de \(\ell\) ?;\(\ell\) est un point fixe de \(f\), c'est-à-dire que \(f(\ell) = \ell\).
Quelle est la définition d'une suite complexe bornée ?;Il existe \(K \in \mathbb{R}^+\) tel que \(\forall n \in \mathbb{N}, |u_n| \le K\) (tous les termes sont dans un disque de centre \(O\) et de rayon \(K\)).
Quelle est la définition de la convergence d'une suite complexe \((u_n)\) vers \(\ell \in \mathbb{C}\) ?;\(\forall \varepsilon > 0, \exists N \in \mathbb{N}, \forall n \ge N, |u_n - \ell| \le \varepsilon\) (la suite réelle \((|u_n - \ell|)\) converge vers \(0\)).
À quelle condition une suite complexe \((u_n)\) converge-t-elle vers \(\ell \in \mathbb{C}\) en utilisant les parties réelle et imaginaire ?;\((u_n)\) converge vers \(\ell \iff \text{Re}(u_n) \xrightarrow[n \to +\infty]{} \text{Re}(\ell)\) et \(\text{Im}(u_n) \xrightarrow[n \to +\infty]{} \text{Im}(\ell)\).
Si une suite complexe \((u_n)\) converge vers \(\ell \in \mathbb{C}\), que peut-on dire de la suite de ses modules \((|u_n|)\) ?;La suite \((|u_n|)\) converge vers \(|\ell|\).
Toute suite complexe convergente est-elle bornée ?;Oui, le corollaire affirme que toute suite complexe convergente est bornée.
À quelle condition la suite complexe géométrique \((q^n)\) avec \(q \in \mathbb{C}\) converge-t-elle ?;Elle converge si et seulement si \(|q| < 1\) (limite \(0\)) ou \(q = 1\) (limite \(1\)).
Soient \((u_n)\) et \((v_n)\) deux suites complexes convergeant vers \(\ell\) et \(\ell'\). Quelles sont les limites de \(\lambda u\), \(u+v\), \(uv\) et \(\frac{u}{v}\) ?;\(\lambda u \xrightarrow[n \to +\infty]{} \lambda \ell\), \(u+v \xrightarrow[n \to +\infty]{} \ell+\ell'\), \(uv \xrightarrow[n \to +\infty]{} \ell \ell'\) et \(\frac{u}{v} \xrightarrow[n \to +\infty]{} \frac{\ell}{\ell'}\) (si \(v_n \ne 0\)).
